Anguilla, https://en.wikipedia.org/wiki/Anguilla, The Valley, https://en.wikipedia.org/wiki/The_Valley%2c_Anguilla, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/80px-Flag_of_Anguilla.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Coat_of_arms_of_Anguilla.svg/32px-Coat_of_arms_of_Anguilla.svg.png, 32, 40,Caribbean&comma; North Atlantic Ocean, "Unity&comma; Strength and Endurance", 91 km2 (35.1 sq mi), 14&comma;869 (2019 estimate), $299 million, $20&comma;307,  
Bermuda, https://en.wikipedia.org/wiki/Bermuda, Hamilton, https://en.wikipedia.org/wiki/Hamilton%2c_Bermuda, https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/80px-Flag_of_Bermuda.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Coat_of_arms_of_Bermuda.svg/27px-Coat_of_arms_of_Bermuda.svg.png, 27, 40,North Atlantic Ocean between the Azores&comma; the Caribbean&comma; Cape Sable Island in Canada&comma; and Cape Hatteras (its nearest neighbour) in the United States, "Quo fata ferunt" (Latin; "Whither the Fates carry [us]"), 54 km2 (20.8 sq mi), 62&comma;506 (2019 estimate), $6.464 billion, $102&comma;987,  
British Antarctic Territory, https://en.wikipedia.org/wiki/British_Antarctic_Territory, Rothera, https://en.wikipedia.org/wiki/Rothera_Research_Station, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_the_British_Antarctic_Territory.svg/80px-Flag_of_the_British_Antarctic_Territory.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Coat_of_arms_of_the_British_Antarctic_Territory.svg/39px-Coat_of_arms_of_the_British_Antarctic_Territory.svg.png, 39, 40,Antarctica, "Research and discovery", 1&comma;709&comma;400 km2 (660&comma;000 sq mi), 050 non-permanent in winter&comma; over 400 in summer (research personnel), , , Subject to the Antarctic Treaty System. 
British Indian Ocean Territory, https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory, Naval Support Facility Diego Garcia, https://en.wikipedia.org/wiki/Naval_Support_Facility_Diego_Garcia, https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg/80px-Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Coat_of_arms_of_the_British_Indian_Ocean_Territory.svg/40px-Coat_of_arms_of_the_British_Indian_Ocean_Territory.svg.png, 40, 40,Indian Ocean, "In tutela nostra Limuria" (Latin; "Limuria is in our charge"), 60 km2 (23 sq mi), 03&comma;000 non-permanent (UK and US military and staff personnel; estimate), , , Claimed by Mauritius. Includes seven atolls of the Chagos Archipelago and the island of Diego Garcia 
British Virgin Islands, https://en.wikipedia.org/wiki/British_Virgin_Islands, Road Town, https://en.wikipedia.org/wiki/Road_Town, https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_British_Virgin_Islands.svg/80px-Flag_of_the_British_Virgin_Islands.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Coat_of_arms_of_the_British_Virgin_Islands.svg/37px-Coat_of_arms_of_the_British_Virgin_Islands.svg.png, 37, 40,Caribbean&comma; North Atlantic Ocean, "Vigilate" (Latin; "Be watchful"), 153 km2 (59 sq mi), 31&comma;758 (2018 census), $1.05 billion, $48&comma;511, Tortola&comma; Virgin Gorda&comma; Anegada&comma; Jost Van Dyke 
Cayman Islands, https://en.wikipedia.org/wiki/Cayman_Islands, George Town, https://en.wikipedia.org/wiki/George_Town%2c_Cayman_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_the_Cayman_Islands.svg/80px-Flag_of_the_Cayman_Islands.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Coat_of_arms_of_the_Cayman_Islands.svg/33px-Coat_of_arms_of_the_Cayman_Islands.svg.png, 33, 40,Caribbean, "He hath founded it upon the seas", 264 km2 (101.9 sq mi), 78&comma;554 (2022 report), $4.298 billion, $85&comma;474, Grand Cayman&comma; Cayman Brac&comma; and Little Cayman 
Falkland Islands, https://en.wikipedia.org/wiki/Falkland_Islands, Stanley, https://en.wikipedia.org/wiki/Stanley%2c_Falkland_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_Falkland_Islands.svg/80px-Flag_of_the_Falkland_Islands.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Coat_of_arms_of_the_Falkland_Islands.svg/30px-Coat_of_arms_of_the_Falkland_Islands.svg.png, 30, 40,South Atlantic Ocean, "Desire the right", 12&comma;173 km2 (4&comma;700 sq mi), 3&comma;377 (2019 estimate)1&comma;350 non-permanent (UK military personnel; 2012 estimate), $164.5 million, $70&comma;800, Claimed by Argentina. In 1982 the Falklands War was fought over control of the islands. Includes East Falkland&comma; West Falkland and over 700 other islands. 
Gibraltar, https://en.wikipedia.org/wiki/Gibraltar, Gibraltar, https://en.wikipedia.org/wiki/Gibraltar, https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Gibraltar.svg/80px-Flag_of_Gibraltar.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Coat_of_arms_of_Gibraltar1.svg/35px-Coat_of_arms_of_Gibraltar1.svg.png, 35, 40,Iberian Peninsula&comma; Continental Europe, "Nulli expugnabilis hosti" (Latin; "No enemy shall expel us"), 6.5 km2 (2.5 sq mi), 33&comma;701 (2019 estimate)1&comma;250 non-permanent (UK military personnel; 2012 estimate), $3.08 billion, $92&comma;843, Claimed by Spain. 
Montserrat, https://en.wikipedia.org/wiki/Montserrat, Plymouth, https://en.wikipedia.org/wiki/Plymouth%2c_Montserrat, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Montserrat.svg/80px-Flag_of_Montserrat.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Coat_of_arms_of_Montserrat.svg/31px-Coat_of_arms_of_Montserrat.svg.png, 31, 40,Caribbean&comma; North Atlantic Ocean, "A people of excellence&comma; moulded by nature&comma; nurtured by God", 101 km2 (39 sq mi), 5&comma;215 (2019 census), $61 million, $12&comma;181,  
Pitcairn Islands, https://en.wikipedia.org/wiki/Pitcairn_Islands, Adamstown, https://en.wikipedia.org/wiki/Adamstown%2c_Pitcairn_Islands, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_the_Pitcairn_Islands.svg/80px-Flag_of_the_Pitcairn_Islands.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Coat_of_arms_of_the_Pitcairn_Islands.svg/34px-Coat_of_arms_of_the_Pitcairn_Islands.svg.png, 34, 40,Pacific Ocean, , 47 km2 (18 sq mi), 50 (2018 estimate)6 non-permanent (2014 estimate), $144&comma;715, $2&comma;894, Pitcairn&comma; Henderson&comma; Ducie and Oeno 
Saint Helena&comma; Ascension and Tristan da Cunha, https://en.wikipedia.org/wiki/Saint_Helena%2c_Ascension_and_Tristan_da_Cunha, Jamestown, https://en.wikipedia.org/wiki/Jamestown%2c_Saint_Helena, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/80px-Flag_of_the_United_Kingdom.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Royal_Coat_of_Arms_of_the_United_Kingdom_%28HM_Government%29_%282022%29.svg/48px-Royal_Coat_of_Arms_of_the_United_Kingdom_%28HM_Government%29_%282022%29.svg.png, 48, 40,South Atlantic Ocean, , 420 km2 (162 sq mi), 5&comma;633 (total; 2016 census), $55.7 million, $12&comma;230,  
Saint Helena, https://en.wikipedia.org/wiki/Saint_Helena, , , https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Saint_Helena.svg/80px-Flag_of_Saint_Helena.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Shield_of_Saint_Helena.svg/30px-Shield_of_Saint_Helena.svg.png, 30, 40,, "Loyal and Unshakeable" (Saint Helena), , 4&comma;349 (Saint Helena; 2019 census), , ,  
Ascension Island, https://en.wikipedia.org/wiki/Ascension_Island, , , https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Ascension_Island.svg/80px-Flag_of_Ascension_Island.svg.png, 80, 40, https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Coat_of_Arms_of_Ascension_Island.svg/43px-Coat_of_Arms_of_Ascension_Island.svg.png, 43, 40,, , , 880 (Ascension; estimate)1&comma;000 non-permanent (Ascension; UK military personnel; estimate), , ,  
