Antigua and Barbuda, https://en.wikipedia.org/wiki/Antigua_and_Barbuda, 93&comma;219, 1981, Rodney Williams, https://en.wikipedia.org/wiki/Rodney_Williams_(governor-general), Gaston Browne, https://en.wikipedia.org/wiki/Gaston_Browne 
Australia, https://en.wikipedia.org/wiki/Australia, 25&comma;921&comma;089, 1901, David Hurley, https://en.wikipedia.org/wiki/David_Hurley, Anthony Albanese, https://en.wikipedia.org/wiki/Anthony_Albanese 
Bahamas, https://en.wikipedia.org/wiki/Bahamas, 407&comma;906, 1973, Cornelius A. Smith, https://en.wikipedia.org/wiki/Cornelius_A._Smith, Philip Davis, https://en.wikipedia.org/wiki/Philip_Davis_(Bahamian_politician) 
Belize, https://en.wikipedia.org/wiki/Belize, 400&comma;031, 1981, Froyla Tzalam, https://en.wikipedia.org/wiki/Froyla_Tzalam, Johnny Briceño, https://en.wikipedia.org/wiki/Johnny_Brice%C3%B1o 
Canada, https://en.wikipedia.org/wiki/Canada, 38&comma;155&comma;012, 1867, Mary Simon, https://en.wikipedia.org/wiki/Mary_Simon, Justin Trudeau, https://en.wikipedia.org/wiki/Justin_Trudeau 
Grenada, https://en.wikipedia.org/wiki/Grenada, 124&comma;610, 1974, Cécile La Grenade, https://en.wikipedia.org/wiki/C%C3%A9cile_La_Grenade, Dickon Mitchell, https://en.wikipedia.org/wiki/Dickon_Mitchell 
Jamaica, https://en.wikipedia.org/wiki/Jamaica, 2&comma;827&comma;695, 1962, Patrick Allen, https://en.wikipedia.org/wiki/Patrick_Allen_(governor-general), Andrew Holness, https://en.wikipedia.org/wiki/Andrew_Holness 
New Zealand, https://en.wikipedia.org/wiki/Realm_of_New_Zealand, 5&comma;129&comma;727, 1907, Cindy Kiro, https://en.wikipedia.org/wiki/Cindy_Kiro, Chris Hipkins, https://en.wikipedia.org/wiki/Chris_Hipkins 
Papua New Guinea, https://en.wikipedia.org/wiki/Papua_New_Guinea, 9&comma;949&comma;437, 1975, Bob Dadae, https://en.wikipedia.org/wiki/Bob_Dadae, James Marape, https://en.wikipedia.org/wiki/James_Marape 
Saint Kitts and Nevis, https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis, 47&comma;606, 1983, Marcella Liburd, https://en.wikipedia.org/wiki/Marcella_Liburd, Terrance Drew, https://en.wikipedia.org/wiki/Terrance_Drew 
Saint Lucia, https://en.wikipedia.org/wiki/Saint_Lucia, 179&comma;651, 1979, Errol Charles, https://en.wikipedia.org/wiki/Errol_Charles, Philip J. Pierre, https://en.wikipedia.org/wiki/Philip_J._Pierre 
Saint Vincent and the Grenadines, https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines, 104&comma;332, 1979, Susan Dougan, https://en.wikipedia.org/wiki/Susan_Dougan, Ralph Gonsalves, https://en.wikipedia.org/wiki/Ralph_Gonsalves 
Solomon Islands, https://en.wikipedia.org/wiki/Solomon_Islands, 707&comma;851, 1978, David Vunagi, https://en.wikipedia.org/wiki/David_Vunagi, Manasseh Sogavare, https://en.wikipedia.org/wiki/Manasseh_Sogavare 
Tuvalu, https://en.wikipedia.org/wiki/Tuvalu, 11&comma;204, 1978, Tofiga Vaevalu Falani, https://en.wikipedia.org/wiki/Tofiga_Vaevalu_Falani, Kausea Natano, https://en.wikipedia.org/wiki/Kausea_Natano 
United Kingdom, https://en.wikipedia.org/wiki/United_Kingdom, 67&comma;281&comma;039, 1801, N/A, , Rishi Sunak, https://en.wikipedia.org/wiki/Rishi_Sunak 
