01, 北海道, ﾎｯｶｲﾄﾞｳ, hokkaido
02, 青森県, ｱｵﾓﾘｹﾝ, aomori
03, 岩手県, 	ｲﾜﾃｹﾝ, iwate
04, 宮城県, ﾐﾔｷﾞｹﾝ, miyagi
05, 秋田県, ｱｷﾀｹﾝ, akita
06, 山形県, ﾔﾏｶﾞﾀｹﾝ, yamagata
07, 福島県, 	ﾌｸｼﾏｹﾝ, fukushima
08, 茨城県, 	ｲﾊﾞﾗｷｹﾝ, ibaraki
09, 栃木県, 	ﾄﾁｷﾞｹﾝ, tochigi
10, 群馬県, 	ｸﾞﾝﾏｹﾝ, gunma
11, 埼玉県, ｻｲﾀﾏｹﾝ, saitama
12, 千葉県, 	ﾁﾊﾞｹﾝ, chiba,
13, 東京都, 	ﾄｳｷｮｳﾄ, tokyo
14, 神奈川県, ｶﾅｶﾞﾜｹﾝ, kanagawa
15, 新潟県, 	ﾆｲｶﾞﾀｹﾝ, niigata
16, 富山県, ﾄﾔﾏｹﾝ, toyama
17, 石川県, ｲｼｶﾜｹﾝ, ishikawa
18, 福井県, 	ﾌｸｲｹﾝ, fukui
19, 山梨県, ﾔﾏﾅｼｹﾝ, yamanashi
20, 長野県, ﾅｶﾞﾉｹﾝ, nagano
21, 岐阜県, ｷﾞﾌｹﾝ, gifu
22, 静岡県, ｼｽﾞｵｶｹﾝ, shizuoka
23, 愛知県, ｱｲﾁｹﾝ, aichi
24, 三重県, ﾐｴｹﾝ, mie
25, 滋賀県, 	ｼｶﾞｹﾝ, shiga
26, 京都府, ｷｮｳﾄﾌ, kyoto
27, 大阪府, ｵｵｻｶﾌ, osaka
28, 兵庫県, ｮｳｺﾞｹﾝ, hyōgo
29, 奈良県, ﾅﾗｹﾝ, nara
30, 和歌山県, ﾜｶﾔﾏｹﾝ, wakayama
31, 鳥取県, ﾄｯﾄﾘｹﾝ, tottori
32, 島根県, ｼﾏﾈｹﾝ, shimane
33, 岡山県, ｵｶﾔﾏｹﾝ, okayama
34, 広島県, ﾋﾛｼﾏｹﾝ, hiroshima
35, 山口県, ﾔﾏｸﾞﾁｹﾝ, yamaguchi
36, 徳島県,ﾄｸｼﾏｹﾝ, tokushima
37, 香川県, ｶｶﾞﾜｹﾝ, kagawa
38, 愛媛県, ｴﾋﾒｹﾝ, ehime
39, 高知県, ｺｳﾁｹﾝ, kouchi
40, 福岡県, ﾌｸｵｶｹﾝ, fukuoka
41, 佐賀県, ｻｶﾞｹﾝ, saga
42, 長崎県, ﾅｶﾞｻｷｹﾝ, nagasaki
43, 熊本県, ｸﾏﾓﾄｹﾝ, kumamoto
44, 大分県, ｵｵｲﾀｹﾝ,ooita
45, 宮崎県, ﾐﾔｻﾞｷｹﾝ, miyazaki
46, 鹿児島県, ｶｺﾞｼﾏｹﾝ, kagoshima
47, 沖縄県, ｵｷﾅﾜｹﾝ, okinawa




