2, 三浦郡, https://ja.wikipedia.org/wiki/%E4%B8%89%E6%B5%A6%E9%83%A1, 葉山町, https://ja.wikipedia.org/wiki/%E8%91%89%E5%B1%B1%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Hayama%2C_Kanagawa.svg/100px-Flag_of_Hayama%2C_Kanagawa.svg.png, 100, 67, なし, なし, 地色は白色であり、紋章は緑色で中に黒色の線をいれて下を黒にすると指定されている。,  
2, 高座郡, https://ja.wikipedia.org/wiki/%E9%AB%98%E5%BA%A7%E9%83%A1, 寒川町, https://ja.wikipedia.org/wiki/%E5%AF%92%E5%B7%9D%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_Samukawa%2C_Kanagawa.svg/100px-Flag_of_Samukawa%2C_Kanagawa.svg.png, 100, 67, なし, なし, 地色は白色であり、紋章は赤色が指定されている。,  
2, 中郡, https://ja.wikipedia.org/wiki/%E4%B8%AD%E9%83%A1, 大磯町, https://ja.wikipedia.org/wiki/%E5%A4%A7%E7%A3%AF%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_Oiso%2C_Kanagawa.svg/100px-Flag_of_Oiso%2C_Kanagawa.svg.png, 100, 67, なし, なし, 地色は白色であり、紋章は小豆色が指定されている。,  
2, 中郡, https://ja.wikipedia.org/wiki/%E4%B8%AD%E9%83%A1, 二宮町, https://ja.wikipedia.org/wiki/%E4%BA%8C%E5%AE%AE%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Ninomiya%2C_Kanagawa.svg/100px-Flag_of_Ninomiya%2C_Kanagawa.svg.png, 100, 67, なし, なし, ,  
2, 足柄上郡, https://ja.wikipedia.org/wiki/%E8%B6%B3%E6%9F%84%E4%B8%8A%E9%83%A1, 中井町, https://ja.wikipedia.org/wiki/%E4%B8%AD%E4%BA%95%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Nakai%2C_Kanagawa.svg/100px-Flag_of_Nakai%2C_Kanagawa.svg.png, 100, 67, なし, なし, -,  
2, 足柄上郡, https://ja.wikipedia.org/wiki/%E8%B6%B3%E6%9F%84%E4%B8%8A%E9%83%A1, 大井町, https://ja.wikipedia.org/wiki/%E5%A4%A7%E4%BA%95%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Oi%2C_Kanagawa.svg/100px-Flag_of_Oi%2C_Kanagawa.svg.png, 100, 67, なし, なし, -,  
2, 足柄上郡, https://ja.wikipedia.org/wiki/%E8%B6%B3%E6%9F%84%E4%B8%8A%E9%83%A1, 松田町, https://ja.wikipedia.org/wiki/%E6%9D%BE%E7%94%B0%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Matsuda%2C_Kanagawa.svg/100px-Flag_of_Matsuda%2C_Kanagawa.svg.png, 100, 67, なし, なし, -,  
2, 足柄上郡, https://ja.wikipedia.org/wiki/%E8%B6%B3%E6%9F%84%E4%B8%8A%E9%83%A1, 山北町, https://ja.wikipedia.org/wiki/%E5%B1%B1%E5%8C%97%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Yamakita%2C_Kanagawa.svg/100px-Flag_of_Yamakita%2C_Kanagawa.svg.png, 100, 67, なし, なし, -,  
2, 足柄上郡, https://ja.wikipedia.org/wiki/%E8%B6%B3%E6%9F%84%E4%B8%8A%E9%83%A1, 開成町, https://ja.wikipedia.org/wiki/%E9%96%8B%E6%88%90%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Kaisei%2C_Kanagawa.svg/100px-Flag_of_Kaisei%2C_Kanagawa.svg.png, 100, 67, なし, なし, -,  
2, 足柄下郡, https://ja.wikipedia.org/wiki/%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1, 箱根町, https://ja.wikipedia.org/wiki/%E7%AE%B1%E6%A0%B9%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Hakone%2C_Kanagawa.svg/100px-Flag_of_Hakone%2C_Kanagawa.svg.png, 100, 67, なし, なし, -,  
2, 足柄下郡, https://ja.wikipedia.org/wiki/%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1, 真鶴町, https://ja.wikipedia.org/wiki/%E7%9C%9F%E9%B6%B4%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Flag_of_Manazuru_Kanagawa.svg/100px-Flag_of_Manazuru_Kanagawa.svg.png, 100, 67, なし, なし, -,  
2, 足柄下郡, https://ja.wikipedia.org/wiki/%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1, 湯河原町, https://ja.wikipedia.org/wiki/%E6%B9%AF%E6%B2%B3%E5%8E%9F%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_Yugawara%2C_Kanagawa.svg/100px-Flag_of_Yugawara%2C_Kanagawa.svg.png, 100, 67, なし, なし, -,  
2, 愛甲郡, https://ja.wikipedia.org/wiki/%E6%84%9B%E7%94%B2%E9%83%A1, 愛川町, https://ja.wikipedia.org/wiki/%E6%84%9B%E5%B7%9D%E7%94%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Aikawa_Kanagawa.svg/100px-Flag_of_Aikawa_Kanagawa.svg.png, 100, 67, なし, なし, -,  
0, 愛甲郡, https://ja.wikipedia.org/wiki/%E6%84%9B%E7%94%B2%E9%83%A1, 清川村, https://ja.wikipedia.org/wiki/%E6%B8%85%E5%B7%9D%E6%9D%91, https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Kiyokawa%2C_Kanagawa.svg/100px-Flag_of_Kiyokawa%2C_Kanagawa.svg.png, 100, 67, あり[6], あり, 2009年7月1日, 地色は白色であり、紋章は臙脂色が指定されている 
