Afghanistan, https://en.wikipedia.org/wiki/Afghanistan, 19 November 1946, No, On December 1&comma; 2021&comma; the nine-nation Credentials Committee of the General Assembly voted to defer a decision to allow the Taliban to represent Afghanistan at the UN. On February 15&comma; 2022&comma; the UN released an updated list of member state officials with the names of Ghani administration officials replaced with the placeholder string "..." and a blank space in place of the "Date of Appointment" field. The titles corresponding to these placeholder names continue to use the designation "Islamic Republic of Afghanistan". On December 12&comma; 2022&comma; the Credentials Committee again deferred the decision.
Albania, https://en.wikipedia.org/wiki/Albania, 14 December 1955, No, 
Algeria, https://en.wikipedia.org/wiki/Algeria, 8 October 1962, No, 
Andorra, https://en.wikipedia.org/wiki/Andorra, 28 July 1993, No, 
Angola, https://en.wikipedia.org/wiki/Angola, 1 December 1976, No, 
Antigua and Barbuda, https://en.wikipedia.org/wiki/Antigua_and_Barbuda, 11 November 1981, No, 
Argentina, https://en.wikipedia.org/wiki/Argentina, 24 October 1945, Yes, 
Armenia, https://en.wikipedia.org/wiki/Armenia, 2 March 1992, No, Former member: Union of Soviet Socialist Republics (original member) and Armenia and the United Nations
Australia, https://en.wikipedia.org/wiki/Australia, 1 November 1945, Yes, Australia and the United Nations
Austria, https://en.wikipedia.org/wiki/Austria, 14 December 1955, No, 
Azerbaijan, https://en.wikipedia.org/wiki/Azerbaijan, 2 March 1992, No, Former member: Union of Soviet Socialist Republics (original member)&comma; and Azerbaijan and the United Nations
Bahamas, https://en.wikipedia.org/wiki/The_Bahamas, 18 September 1973, No, 
Bahrain, https://en.wikipedia.org/wiki/Bahrain, 21 September 1971, No, 
Bangladesh, https://en.wikipedia.org/wiki/Bangladesh, 17 September 1974, No, Bangladesh and the United Nations
Barbados, https://en.wikipedia.org/wiki/Barbados, 9 December 1966, No, 
Belarus, https://en.wikipedia.org/wiki/Belarus, 24 October 1945, Yes, Former member: Byelorussian Soviet Socialist Republic
Belgium, https://en.wikipedia.org/wiki/Belgium, 27 December 1945, Yes, 
Belize, https://en.wikipedia.org/wiki/Belize, 25 September 1981, No, 
Benin, https://en.wikipedia.org/wiki/Benin, 20 September 1960, No, 
Bhutan, https://en.wikipedia.org/wiki/Bhutan, 21 September 1971, No, 
Plurinational State of Bolivia, https://en.wikipedia.org/wiki/Plurinational_State_of_Bolivia, 14 November 1945, Yes, 
Bosnia and Herzegovina, https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina, 22 May 1992, No, Former member: Yugoslavia (original member)
Botswana, https://en.wikipedia.org/wiki/Botswana, 17 October 1966, No, 
Brazil, https://en.wikipedia.org/wiki/Brazil, 24 October 1945, Yes, Brazil and the United Nations
Brunei Darussalam, https://en.wikipedia.org/wiki/Brunei_Darussalam, 21 September 1984, No, 
Bulgaria, https://en.wikipedia.org/wiki/Bulgaria, 14 December 1955, No, 
Burkina Faso, https://en.wikipedia.org/wiki/Burkina_Faso, 20 September 1960, No, 
Burundi, https://en.wikipedia.org/wiki/Burundi, 18 September 1962, No, 
