American Samoa, https://en.wikipedia.org/wiki/American_Samoa,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/23px-Flag_of_American_Samoa.svg.png, 23, 12, United States, https://en.wikipedia.org/wiki/United_States, https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 23, 12, -14.3, -170.7
Anguilla, https://en.wikipedia.org/wiki/Anguilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/23px-Flag_of_Anguilla.svg.png, 23, 12, United Kingdom, https://en.wikipedia.org/wiki/United_Kingdom, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, 18.22723, -63.04899
Bermuda, https://en.wikipedia.org/wiki/Bermuda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/23px-Flag_of_Bermuda.svg.png, 23, 12, United Kingdom, https://en.wikipedia.org/wiki/United_Kingdom, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, 32.32, -64.74
British Virgin Islands, https://en.wikipedia.org/wiki/British_Virgin_Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_British_Virgin_Islands.svg/23px-Flag_of_the_British_Virgin_Islands.svg.png, 23, 12, United Kingdom, https://en.wikipedia.org/wiki/United_Kingdom, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, 18.445, -64.54
Cayman Islands, https://en.wikipedia.org/wiki/Cayman_Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_the_Cayman_Islands.svg/23px-Flag_of_the_Cayman_Islands.svg.png, 23, 12, United Kingdom, https://en.wikipedia.org/wiki/United_Kingdom, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, 19.5, -80.5
Falkland Islands (Malvinas), https://en.wikipedia.org/wiki/Falkland_Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_Falkland_Islands.svg/23px-Flag_of_the_Falkland_Islands.svg.png, 23, 12, United Kingdom, https://en.wikipedia.org/wiki/United_Kingdom, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, -51.73, -59.22
French Polynesia, https://en.wikipedia.org/wiki/French_Polynesia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_French_Polynesia.svg/23px-Flag_of_French_Polynesia.svg.png, 23, 15, France, https://en.wikipedia.org/wiki/France, https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png, 23, 15, -17.533333, -149.566667
Gibraltar, https://en.wikipedia.org/wiki/Gibraltar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Gibraltar.svg/23px-Flag_of_Gibraltar.svg.png, 23, 12, United Kingdom, https://en.wikipedia.org/wiki/United_Kingdom, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, 36.14, -5.35
Guam, https://en.wikipedia.org/wiki/Guam,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Guam.svg/23px-Flag_of_Guam.svg.png, 23, 12, United States, https://en.wikipedia.org/wiki/United_States, https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 23, 12, 13.5, 144.8
Montserrat, https://en.wikipedia.org/wiki/Montserrat,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Montserrat.svg/23px-Flag_of_Montserrat.svg.png, 23, 12, United Kingdom, https://en.wikipedia.org/wiki/United_Kingdom, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, 16.75, -62.2
New Caledonia, https://en.wikipedia.org/wiki/New_Caledonia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_FLNKS.svg/23px-Flag_of_FLNKS.svg.png, 23, 12, France, https://en.wikipedia.org/wiki/France, https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png, 23, 15, -21.25, 165.3
